Egg,EggNb,Chick,nest,LayingDate,HatchingDate,Growth,BLUP,latitude,longitude,FID_m,Repetition,Zone,SD_m,Date,Year,height_m,Count_Larcan_nests_Hannah,Count_Larcan_nests,Distance_coast
47.8,3,38,1092_25,,,,-2.979859971,58.7668073,23.4316504,,,Middle,,,2025,0.66624999,6,,
61.1,1,42.5,1098_25,,,,-0.600317124,58.7666934,23.4309061,,,Leg,,,2025,0.42749998,11,,
59.4,2,32,1098_25,,,,-0.600317124,58.7666934,23.4309061,,,Leg,,,2025,0.42749998,11,,
56.2,3,33.6,1098_25,,,,-0.600317124,58.7666934,23.4309061,,,Leg,,,2025,0.42749998,11,,
49.7,1,,1099_25,,,,2.255294773,58.7666398,23.4308348,,,Leg,,,2025,0.418749988,7,,
46,2,,1099_25,,,,2.255294773,58.7666398,23.4308348,,,Leg,,,2025,0.418749988,7,,
52.4,1,,1101_25,,,,6.681292614,58.7665246,23.4306393,,,Leg,,,2025,0.57249999,5,,
52.5,2,31.7,1101_25,,,,6.681292614,58.7665246,23.4306393,,,Leg,,,2025,0.57249999,5,,
47.2,3,34.1,1101_25,,,,6.681292614,58.7665246,23.4306393,,,Leg,,,2025,0.57249999,5,,
46.6,1,,1102_25,,,,7.690185038,58.7661533,23.4298283,,,Leg,,,2025,0.311874986,1,,
47.8,2,,1102_25,,,,7.690185038,58.7661533,23.4298283,,,Leg,,,2025,0.311874986,1,,
46.3,3,,1102_25,,,,7.690185038,58.7661533,23.4298283,,,Leg,,,2025,0.311874986,1,,
62.6,1,44.2,1103_25,,,,6.672689981,58.7668968,23.4314534,,,Middle,,,2025,0.913124979,3,,
60,2,42.6,1103_25,,,,6.672689981,58.7668968,23.4314534,,,Middle,,,2025,0.913124979,3,,
61.9,3,,1103_25,,,,6.672689981,58.7668968,23.4314534,,,Middle,,,2025,0.913124979,3,,
