Egg,EggNb,Chick,nest,LayingDate,HatchingDate,Growth,BLUP,latitude,longitude,FID_m,Repetition,Zone,SD_m,Date,Year,height_m,Count_Larcan_nests_Hannah,Count_Larcan_nests,Distance_coast
51.8,3,,628_25,,,,-3.532041344,58.7658457,23.4355211,,,North,,,2025,0.719374955,12,,
57.2,1,38.7,629_25,,,,1.12980763,58.7657944,23.4355671,,,North,,,2025,0.71312499,12,,
54.7,2,38.4,629_25,,,,1.12980763,58.7657944,23.4355671,,,North,,,2025,0.71312499,12,,
54.4,3,38.1,629_25,,,,1.12980763,58.7657944,23.4355671,,,North,,,2025,0.71312499,12,,
52.1,1,,630_25,,,,-0.819410642,58.7657647,23.4352181,,,North,,,2025,0.657499969,10,,
56.9,2,,630_25,,,,-0.819410642,58.7657647,23.4352181,,,North,,,2025,0.657499969,10,,
55.4,3,,630_25,,,,-0.819410642,58.7657647,23.4352181,,,North,,,2025,0.657499969,10,,
51.3,1,,631_25,,,,0.703047433,58.7658082,23.4351717,,,North,,,2025,0.643749952,9,,
50.8,2,,631_25,,,,0.703047433,58.7658082,23.4351717,,,North,,,2025,0.643749952,9,,
47.6,3,,631_25,,,,0.703047433,58.7658082,23.4351717,,,North,,,2025,0.643749952,9,,
53.7,1,,671_25,,,,-1.77453454,58.765853,23.4358451,,,Middle,,,2025,0.733749986,8,,
52.2,2,43.9,671_25,,,,-1.77453454,58.765853,23.4358451,,,Middle,,,2025,0.733749986,8,,
50.9,3,38.2,671_25,,,,-1.77453454,58.765853,23.4358451,,,Middle,,,2025,0.733749986,8,,
60.3,1,,678_25,,,,,58.7657988,23.4354605,,,North,,,2025,0.712499976,9,,
53.5,1,40.1,691_25,,,,0.795917371,58.7663,23.4350583,,,Middle,,,2025,0.466874987,4,,
53.9,2,44.1,691_25,,,,0.795917371,58.7663,23.4350583,,,Middle,,,2025,0.466874987,4,,
50.1,3,,691_25,,,,0.795917371,58.7663,23.4350583,,,Middle,,,2025,0.466874987,4,,
64.7,1,,694_25,,,,0.983840638,58.766275,23.4347583,,,Middle,,,2025,0.579374969,7,,
58.8,2,,694_25,,,,0.983840638,58.766275,23.4347583,,,Middle,,,2025,0.579374969,7,,
63.2,1,,695_25,,,,3.122941744,58.7662329,23.4346001,,,Middle,,,2025,0.29,2,,
60,1,,698_25,,,,,58.7662843,23.4345162,,,Middle,,,2025,0.615625024,13,,
54.8,1,,701_25,,,,-5.05668281,58.7662432,23.4342353,,,Middle,,,2025,0.623125017,12,,
56.1,2,34.2,701_25,,,,-5.05668281,58.7662432,23.4342353,,,Middle,,,2025,0.623125017,12,,
55.9,3,34.8,701_25,,,,-5.05668281,58.7662432,23.4342353,,,Middle,,,2025,0.623125017,12,,
52.2,1,,706_25,,,,4.649188021,58.7662618,23.4340582,,,Middle,,,2025,0.613124967,14,,
51,2,,706_25,,,,4.649188021,58.7662618,23.4340582,,,Middle,,,2025,0.613124967,14,,
48.7,3,,706_25,,,,4.649188021,58.7662618,23.4340582,,,Middle,,,2025,0.613124967,14,,
53.5,1,,727_25,,,,-8.768577075,58.7667703,23.4308479,,,Leg,,,2025,0.799374938,13,,
57.7,2,,727_25,,,,-8.768577075,58.7667703,23.4308479,,,Leg,,,2025,0.799374938,13,,
52.9,3,,727_25,,,,-8.768577075,58.7667703,23.4308479,,,Leg,,,2025,0.799374938,13,,
58.3,1,,728_25,,,,1.577210229,58.7667617,23.4309233,,,Leg,,,2025,0.399374992,10,,
59.2,2,,728_25,,,,1.577210229,58.7667617,23.4309233,,,Leg,,,2025,0.399374992,10,,
53.9,3,,728_25,,,,1.577210229,58.7667617,23.4309233,,,Leg,,,2025,0.399374992,10,,
60.2,1,39.4,739_25,,,,3.125927541,58.7672001,23.4305083,,,Head,,,2025,1.506875038,7,,
58.6,2,39.3,739_25,,,,3.125927541,58.7672001,23.4305083,,,Head,,,2025,1.506875038,7,,
56.9,3,34.9,739_25,,,,3.125927541,58.7672001,23.4305083,,,Head,,,2025,1.506875038,7,,
55.8,1,37.9,740_25,,,,-1.776941755,58.7672763,23.4303066,,,Head,,,2025,0.65625,8,,
53.3,2,41.7,740_25,,,,-1.776941755,58.7672763,23.4303066,,,Head,,,2025,0.65625,8,,
50.3,3,40.6,740_25,,,,-1.776941755,58.7672763,23.4303066,,,Head,,,2025,0.65625,8,,
65.7,1,,795_25,,,,-4.347972246,58.7667998,23.4309315,,,Leg,,,2025,0.576874971,7,,
63,2,40.4,795_25,,,,-4.347972246,58.7667998,23.4309315,,,Leg,,,2025,0.576874971,7,,
55.2,3,37.6,795_25,,,,-4.347972246,58.7667998,23.4309315,,,Leg,,,2025,0.576874971,7,,
55.1,1,38.2,800_25,,,,1.364856359,58.7664753,23.4306835,,,Leg,,,2025,0.367500007,6,,
55.4,2,,800_25,,,,1.364856359,58.7664753,23.4306835,,,Leg,,,2025,0.367500007,6,,
52.7,3,,800_25,,,,1.364856359,58.7664753,23.4306835,,,Leg,,,2025,0.367500007,6,,
58,1,39.5,804_25,,,,5.972358225,58.76707,23.43013,,,Head,,,2025,0.573125005,1,,
57.6,2,37.9,804_25,,,,5.972358225,58.76707,23.43013,,,Head,,,2025,0.573125005,1,,
58.3,3,38.9,804_25,,,,5.972358225,58.76707,23.43013,,,Head,,,2025,0.573125005,1,,
57,1,,809_25,,,,0.837649821,58.767022,23.4299611,,,Head,,,2025,1.034374952,3,,
58.5,2,,809_25,,,,0.837649821,58.767022,23.4299611,,,Head,,,2025,1.034374952,3,,
52.2,1,35.4,818_25,,,,-6.344894562,58.7669583,23.4294433,,,Head,,,2025,1.085624933,6,,
48.6,2,,818_25,,,,-6.344894562,58.7669583,23.4294433,,,Head,,,2025,1.085624933,6,,
55.7,1,37.9,825_25,,,,-8.058840281,58.7669483,23.4294533,,,Head,,,2025,1.579999924,18,,
54.9,2,34.4,825_25,,,,-8.058840281,58.7669483,23.4294533,,,Head,,,2025,1.579999924,18,,
50.7,3,34.3,825_25,,,,-8.058840281,58.7669483,23.4294533,,,Head,,,2025,1.579999924,18,,
51.6,1,36.9,836_25,,,,-2.069678145,58.76665,23.4320382,,,Middle,,,2025,0.5,11,,
49.9,2,43.4,836_25,,,,-2.069678145,58.76665,23.4320382,,,Middle,,,2025,0.5,11,,
48,3,38.9,836_25,,,,-2.069678145,58.76665,23.4320382,,,Middle,,,2025,0.5,11,,
60.3,1,44.4,838_25,,,,-2.446905665,58.7666617,23.4320233,,,Middle,,,2025,0.585624993,10,,
61,2,35.1,838_25,,,,-2.446905665,58.7666617,23.4320233,,,Middle,,,2025,0.585624993,10,,
54.8,3,34.3,838_25,,,,-2.446905665,58.7666617,23.4320233,,,Middle,,,2025,0.585624993,10,,
55.1,1,,847_25,,,,2.073343099,58.7659754,23.4352981,,,North,,,2025,0.575625002,6,,
55.9,2,,847_25,,,,2.073343099,58.7659754,23.4352981,,,North,,,2025,0.575625002,6,,
53.7,3,,847_25,,,,2.073343099,58.7659754,23.4352981,,,North,,,2025,0.575625002,6,,
59.8,1,,848_25,,,,,58.7659737,23.4355872,,,Middle,,,2025,0.778124988,7,,
