nest,NDVI,NDWI,Mat_Gland,Mat_Head,Mat_Birth,Mat_Age,Mat_Cort,Pat_Gland,Pat_Head,Pat_Birth,Pat_Age,Pat_Cort,Mean_Gland,Mean_Head,Mean_Age,Mean_Cort,BLUP,BLUP_25,latitude,longitude,first_egg_date,parents,Bird_FID,FID_m,FID_time,Repetition,Zone,Note_,Note_time,SD_m,SD_time,note_,note_time,Date,Time,Year,gull10m,height_m,dist_shore_m,dist_shore_m_new,distMOD,Egg1,Egg2,Egg3,Egg4,TotEgg,EggHatched,2nd_clutch,ProbaChick,HatchSucc,ClutchMass,Chick1,Chick2,Chick3,Chick4,ChickNmass,Count_ALL_nests,Count_Larcan_nests,Distance_coast,Count_ALL_nests_Hannah,Count_Larcan_nests_Hannah
435_23,0.618695527,0.379999995,,,,,,,,,,,,,,,,,58.7657348,23.4356986,08/05/2023,,,4,,6,North,,,33,,,,23/05/2023,10:59:00,2023,0.081762074,0.68,44.86044367,#N/A,24.86044367,55.8,56.5,53.8,,3,2,,1,0.666666667,166.1,42.6,43.1,,,85.7,3,3,34.49,5,5
435_23,0.618695527,0.379999995,,,,,,,,,,,,,,,,,58.7657348,23.4356986,08/05/2023,,,19,,7,North,,,31,,,,24/05/2023,12:20:00,2023,0.081762074,0.68,44.86044367,#N/A,24.86044367,55.8,56.5,53.8,,3,2,,1,0.666666667,166.1,42.6,43.1,,,85.7,3,3,34.49,5,5
435_23,0.618695527,0.379999995,,,,,,,,,,,,,,,,,58.7657348,23.4356986,08/05/2023,,,5,,8,North,,,32,,,,25/05/2023,10:49:00,2023,0.081762074,0.68,44.86044367,#N/A,24.86044367,55.8,56.5,53.8,,3,2,,1,0.666666667,166.1,42.6,43.1,,,85.7,3,3,34.49,5,5
435_23,0.618695527,0.379999995,,,,,,,,,,,,,,,,,58.7657348,23.4356986,08/05/2023,,,7,,9,North,,,21,,,,26/05/2023,14:13:00,2023,0.081762074,0.68,44.86044367,#N/A,24.86044367,55.8,56.5,53.8,,3,2,,1,0.666666667,166.1,42.6,43.1,,,85.7,3,3,34.49,5,5
448_23,0.745093822,0.546666662,,,,,,,,,,,,,,,11.689109,14.79321714,58.7663318,23.4340256,08/05/2023,,,40,,1,Middle,,,51,,,,19/05/2023,15:58:00,2023,0.035412547,0.58,38.61480036,#N/A,18.61480036,56.3,,49,,2,2,,1,0.666666667,105.3,38.4,40.7,,,79.1,3,3,26.44,5,5
448_23,0.745093822,0.546666662,,,,,,,,,,,,,,,,,58.7663318,23.4340256,08/05/2023,,,28,,2,Middle,,,33,,,,21/05/2023,14:35:00,2023,0.035412547,0.58,38.61480036,#N/A,18.61480036,56.3,,49,,2,2,,1,0.666666667,105.3,38.4,40.7,,,79.1,3,3,26.44,5,5
448_23,0.745093822,0.546666662,,,,,,,,,,,,,,,,,58.7663318,23.4340256,08/05/2023,,,30,,3,Middle,,,32,,,,21/05/2023,12:05:00,2023,0.035412547,0.58,38.61480036,#N/A,18.61480036,56.3,,49,,2,2,,1,0.666666667,105.3,38.4,40.7,,,79.1,3,3,26.44,5,5
448_23,0.745093822,0.546666662,,,,,,,,,,,,,,,,,58.7663318,23.4340256,08/05/2023,,,48,,4,Middle,,,54,,,,22/05/2023,13:17:00,2023,0.035412547,0.58,38.61480036,#N/A,18.61480036,56.3,,49,,2,2,,1,0.666666667,105.3,38.4,40.7,,,79.1,3,3,26.44,5,5
448_23,0.745093822,0.546666662,,,,,,,,,,,,,,,,,58.7663318,23.4340256,08/05/2023,,,57,,5,Middle,,,76,,,,23/05/2023,14:09:00,2023,0.035412547,0.58,38.61480036,#N/A,18.61480036,56.3,,49,,2,2,,1,0.666666667,105.3,38.4,40.7,,,79.1,3,3,26.44,5,5
448_23,0.745093822,0.546666662,,,,,,,,,,,,,,,,,58.7663318,23.4340256,08/05/2023,,,29,,6,Middle,,,73,,,,24/05/2023,10:56:00,2023,0.035412547,0.58,38.61480036,#N/A,18.61480036,56.3,,49,,2,2,,1,0.666666667,105.3,38.4,40.7,,,79.1,3,3,26.44,5,5
448_23,0.745093822,0.546666662,,,,,,,,,,,,,,,,,58.7663318,23.4340256,08/05/2023,,,34,,7,Middle,,,38,,,,25/05/2023,11:36:00,2023,0.035412547,0.58,38.61480036,#N/A,18.61480036,56.3,,49,,2,2,,1,0.666666667,105.3,38.4,40.7,,,79.1,3,3,26.44,5,5
448_23,0.745093822,0.546666662,,,,,,,,,,,,,,,,,58.7663318,23.4340256,08/05/2023,,,27,,8,Middle,,,40,,,,26/05/2023,13:07:00,2023,0.035412547,0.58,38.61480036,#N/A,18.61480036,56.3,,49,,2,2,,1,0.666666667,105.3,38.4,40.7,,,79.1,3,3,26.44,5,5
526_23,0.593561431,0.379999995,,,,,,,,,,,,,,,-5.057931,-4.516781548,58.7657946,23.4353594,08/05/2023,,,12,,1,North,,,30,,,,19/05/2023,16:32:00,2023,0.074208517,0.65,48.84077513,#N/A,28.84077513,53.8,,,,1,1,,1,0.333333333,53.8,38.5,,,,38.5,6,6,48.62,9,9
526_23,0.593561431,0.379999995,,,,,,,,,,,,,,,,,58.7657946,23.4353594,08/05/2023,,,9,,2,North,,,28,,,,20/05/2023,12:05:00,2023,0.074208517,0.65,48.84077513,#N/A,28.84077513,53.8,,,,1,1,,1,0.333333333,53.8,38.5,,,,38.5,6,6,48.62,9,9
526_23,0.593561431,0.379999995,,,,,,,,,,,,,,,,,58.7657946,23.4353594,08/05/2023,,,12,,3,North,,,38,,,,21/05/2023,13:08:00,2023,0.074208517,0.65,48.84077513,#N/A,28.84077513,53.8,,,,1,1,,1,0.333333333,53.8,38.5,,,,38.5,6,6,48.62,9,9
526_23,0.593561431,0.379999995,,,,,,,,,,,,,,,,,58.7657946,23.4353594,08/05/2023,,,4,,4,North,,,31,,,,22/05/2023,15:53:00,2023,0.074208517,0.65,48.84077513,#N/A,28.84077513,53.8,,,,1,1,,1,0.333333333,53.8,38.5,,,,38.5,6,6,48.62,9,9
526_23,0.593561431,0.379999995,,,,,,,,,,,,,,,,,58.7657946,23.4353594,08/05/2023,,,8,,5,North,,,31,,,,23/05/2023,11:10:00,2023,0.074208517,0.65,48.84077513,#N/A,28.84077513,53.8,,,,1,1,,1,0.333333333,53.8,38.5,,,,38.5,6,6,48.62,9,9
526_23,0.593561431,0.379999995,,,,,,,,,,,,,,,,,58.7657946,23.4353594,08/05/2023,,,12,,6,North,,,30,,,,24/05/2023,12:33:00,2023,0.074208517,0.65,48.84077513,#N/A,28.84077513,53.8,,,,1,1,,1,0.333333333,53.8,38.5,,,,38.5,6,6,48.62,9,9
526_23,0.593561431,0.379999995,,,,,,,,,,,,,,,,,58.7657946,23.4353594,08/05/2023,,,9,,7,North,,,28,,,,25/05/2023,10:58:00,2023,0.074208517,0.65,48.84077513,#N/A,28.84077513,53.8,,,,1,1,,1,0.333333333,53.8,38.5,,,,38.5,6,6,48.62,9,9
526_23,0.593561431,0.379999995,,,,,,,,,,,,,,,,,58.7657946,23.4353594,08/05/2023,,,9,,8,North,,,28,,,,26/05/2023,14:21:00,2023,0.074208517,0.65,48.84077513,#N/A,28.84077513,53.8,,,,1,1,,1,0.333333333,53.8,38.5,,,,38.5,6,6,48.62,9,9
540_23,0.611914784,0.379999995,,,,,,,,,,,,,,,-2.9196644,-2.343591712,58.7657827,23.4355862,09/05/2023,,,19,,1,North,,,31,,,,19/05/2023,16:28:00,2023,0.086670089,0.75,48.47658755,#N/A,28.47658755,51,52.8,44.7,,3,3,,1,1,148.5,35.2,36.9,32.6,,104.7,4,3,42.31,11,10
540_23,0.611914784,0.379999995,,,,,,,,,,,,,,,,,58.7657827,23.4355862,09/05/2023,,,10,,2,North,,,28,,,,20/05/2023,11:50:00,2023,0.086670089,0.75,48.47658755,#N/A,28.47658755,51,52.8,44.7,,3,3,,1,1,148.5,35.2,36.9,32.6,,104.7,4,3,42.31,11,10
540_23,0.611914784,0.379999995,,,,,,,,,,,,,,,,,58.7657827,23.4355862,09/05/2023,,,10,,3,North,,,36,,,,21/05/2023,12:49:00,2023,0.086670089,0.75,48.47658755,#N/A,28.47658755,51,52.8,44.7,,3,3,,1,1,148.5,35.2,36.9,32.6,,104.7,4,3,42.31,11,10
540_23,0.611914784,0.379999995,,,,,,,,,,,,,,,,,58.7657827,23.4355862,09/05/2023,,,8,,4,North,,,21,,,,22/05/2023,15:44:00,2023,0.086670089,0.75,48.47658755,#N/A,28.47658755,51,52.8,44.7,,3,3,,1,1,148.5,35.2,36.9,32.6,,104.7,4,3,42.31,11,10
540_23,0.611914784,0.379999995,,,,,,,,,,,,,,,,,58.7657827,23.4355862,09/05/2023,,,12,,5,North,,,26,,,,23/05/2023,10:37:00,2023,0.086670089,0.75,48.47658755,#N/A,28.47658755,51,52.8,44.7,,3,3,,1,1,148.5,35.2,36.9,32.6,,104.7,4,3,42.31,11,10
540_23,0.611914784,0.379999995,,,,,,,,,,,,,,,,,58.7657827,23.4355862,09/05/2023,,,6,,6,North,,,37,,,,24/05/2023,12:23:00,2023,0.086670089,0.75,48.47658755,#N/A,28.47658755,51,52.8,44.7,,3,3,,1,1,148.5,35.2,36.9,32.6,,104.7,4,3,42.31,11,10
540_23,0.611914784,0.379999995,,,,,,,,,,,,,,,,,58.7657827,23.4355862,09/05/2023,,,11,,7,North,,,22,,,,25/05/2023,10:29:00,2023,0.086670089,0.75,48.47658755,#N/A,28.47658755,51,52.8,44.7,,3,3,,1,1,148.5,35.2,36.9,32.6,,104.7,4,3,42.31,11,10
540_23,0.611914784,0.379999995,,,,,,,,,,,,,,,,,58.7657827,23.4355862,09/05/2023,,,12,,8,North,,,20,,,,26/05/2023,13:57:00,2023,0.086670089,0.75,48.47658755,#N/A,28.47658755,51,52.8,44.7,,3,3,,1,1,148.5,35.2,36.9,32.6,,104.7,4,3,42.31,11,10
541_23,0.704142968,0.5,,,,,,,,,,,,,,,3.9598683,5.824183944,58.7662474,23.4338912,08/05/2023,,,24,,1,Middle,,,32,,,,19/05/2023,16:00:00,2023,0.048589053,0.77,36.31017427,#N/A,16.31017427,58.5,55.5,52.2,,3,1,,1,0.333333333,166.2,,,37.4,,37.4,2,2,26.27,4,4
541_23,0.704142968,0.5,,,,,,,,,,,,,,,,,58.7662474,23.4338912,08/05/2023,,,44,,2,Middle,,,55,,,,21/05/2023,14:32:00,2023,0.048589053,0.77,36.31017427,#N/A,16.31017427,58.5,55.5,52.2,,3,1,,1,0.333333333,166.2,,,37.4,,37.4,2,2,26.27,4,4
541_23,0.704142968,0.5,,,,,,,,,,,,,,,,,58.7662474,23.4338912,08/05/2023,,,31,,3,Middle,,,43,,,,21/05/2023,11:55:00,2023,0.048589053,0.77,36.31017427,#N/A,16.31017427,58.5,55.5,52.2,,3,1,,1,0.333333333,166.2,,,37.4,,37.4,2,2,26.27,4,4
541_23,0.704142968,0.5,,,,,,,,,,,,,,,,,58.7662474,23.4338912,08/05/2023,,,10,,4,Middle,,,49,,,,22/05/2023,13:25:00,2023,0.048589053,0.77,36.31017427,#N/A,16.31017427,58.5,55.5,52.2,,3,1,,1,0.333333333,166.2,,,37.4,,37.4,2,2,26.27,4,4
541_23,0.704142968,0.5,,,,,,,,,,,,,,,,,58.7662474,23.4338912,08/05/2023,,,32,,5,Middle,,,40,,,,23/05/2023,13:07:00,2023,0.048589053,0.77,36.31017427,#N/A,16.31017427,58.5,55.5,52.2,,3,1,,1,0.333333333,166.2,,,37.4,,37.4,2,2,26.27,4,4
541_23,0.704142968,0.5,,,,,,,,,,,,,,,,,58.7662474,23.4338912,08/05/2023,,,23,,6,Middle,,,41,,,,24/05/2023,10:29:00,2023,0.048589053,0.77,36.31017427,#N/A,16.31017427,58.5,55.5,52.2,,3,1,,1,0.333333333,166.2,,,37.4,,37.4,2,2,26.27,4,4
541_23,0.704142968,0.5,,,,,,,,,,,,,,,,,58.7662474,23.4338912,08/05/2023,,,19,,7,Middle,,,29,,,,25/05/2023,11:24:00,2023,0.048589053,0.77,36.31017427,#N/A,16.31017427,58.5,55.5,52.2,,3,1,,1,0.333333333,166.2,,,37.4,,37.4,2,2,26.27,4,4
541_23,0.704142968,0.5,,,,,,,,,,,,,,,,,58.7662474,23.4338912,08/05/2023,,,7,,8,Middle,,,30,,,,26/05/2023,12:56:00,2023,0.048589053,0.77,36.31017427,#N/A,16.31017427,58.5,55.5,52.2,,3,1,,1,0.333333333,166.2,,,37.4,,37.4,2,2,26.27,4,4
543_23,0.573319674,0.310000002,,,,,,,,,,,,,,,-3.1773288,-2.852665012,58.7659351,23.4355568,09/05/2023,,,17,,1,North,,,28,,,,19/05/2023,16:52:00,2023,0.06095969,0.68,55.39145875,#N/A,35.39145875,56.2,59.2,56.5,,3,3,,1,1,171.9,39.5,42.7,38.6,,120.8,4,4,52.01,7,7
543_23,0.573319674,0.310000002,,,,,,,,,,,,,,,,,58.7659351,23.4355568,09/05/2023,,,10,,2,North,,,22,,,,20/05/2023,12:08:00,2023,0.06095969,0.68,55.39145875,#N/A,35.39145875,56.2,59.2,56.5,,3,3,,1,1,171.9,39.5,42.7,38.6,,120.8,4,4,52.01,7,7
543_23,0.573319674,0.310000002,,,,,,,,,,,,,,,,,58.7659351,23.4355568,09/05/2023,,,7,,3,North,,,24,,,,21/05/2023,13:19:00,2023,0.06095969,0.68,55.39145875,#N/A,35.39145875,56.2,59.2,56.5,,3,3,,1,1,171.9,39.5,42.7,38.6,,120.8,4,4,52.01,7,7
543_23,0.573319674,0.310000002,,,,,,,,,,,,,,,,,58.7659351,23.4355568,09/05/2023,,,10,,4,North,,,27,,,,22/05/2023,16:05:00,2023,0.06095969,0.68,55.39145875,#N/A,35.39145875,56.2,59.2,56.5,,3,3,,1,1,171.9,39.5,42.7,38.6,,120.8,4,4,52.01,7,7
